NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CECB-00002","BRCC - Place Viau","7600 Boulevard Viau Montréal QC H1S 2P3","Montréal","QC","BRCC","par heure",,-73.592952,45.574934
"CECB-00004","BRCC - Place Viau","7600 Boulevard Viau Montréal QC H1S 2P3","Montréal","QC","BRCC","par heure",,-73.592952,45.574934
"CECB-00006","BRCC - Place Viau","7600 Boulevard Viau Montréal QC H1S 2P3","Montréal","QC","BRCC","par heure",,-73.592952,45.574934
"CECB-00023","BRCC - Place Viau","7600 Boulevard Viau Montréal QC H1S 2P3","Montréal","QC","BRCC","par heure",,-73.592952,45.574934
"CECH-00006","BRCC - Saint-Léonard - Colbert - Aréna","7855 Rue Colbert Montréal QC H1S 2Y7","Montréal","QC","BRCC","par palier (à partir de)",,-73.595654,45.574246
"CECH-00009","BRCC - Saint-Léonard - Colbert - Aréna","7855 Rue Colbert Montréal QC H1S 2Y7","Montréal","QC","BRCC","par palier (à partir de)",,-73.595654,45.574246
"CEK-00894","BRCC - Saint-Léonard - Colbert - Aréna","7855 Rue Colbert Montréal QC H1S 2Y7","Montréal","QC","BRCC","par palier (à partir de)",,-73.595654,45.574246
"CEK-00893","BRCC - Saint-Léonard - Colbert - Aréna","7855 Rue Colbert Montréal QC H1S 2Y7","Montréal","QC","BRCC","par palier (à partir de)",,-73.595654,45.574246
"CEL-00726","BRCC - Saint-Léonard - Couche-Tard","7635 Boulevard Lacordaire Montréal QC H1S 2A7","Montréal","QC","BRCC","par palier (à partir de)",,-73.585804,45.582359
"CEK-00895","BRCC - Saint-Léonard - Couche-Tard","7635 Boulevard Lacordaire Montréal QC H1S 2A7","Montréal","QC","BRCC","par palier (à partir de)",,-73.585804,45.582359
"CEC-00312","BRCC - St-Laurent - Stationnement Ouimet Nord","812 A Ouimet Montréal QC H4L 3P4","Montréal","QC","BRCC","par palier (à partir de)",,-73.678398,45.512192
"CEC-00313","BRCC - St-Laurent - Stationnement Ouimet Nord","812 A Ouimet Montréal QC H4L 3P4","Montréal","QC","BRCC","par palier (à partir de)",,-73.678398,45.512192
"CEK-00892","BRCC - St-Laurent - Stationnement Ouimet Nord","812 A Ouimet Montréal QC H4L 3P4","Montréal","QC","BRCC","par palier (à partir de)",,-73.678398,45.512192
"CECH-00083","BRCC - St-Laurent - Stationnement Ouimet Nord","812 A Ouimet Montréal QC H4L 3P4","Montréal","QC","BRCC","par palier (à partir de)",,-73.678398,45.512192
"CECB-00028","BRCC - St-Laurent - Stationnement Ouimet Nord","812 A Ouimet Montréal QC H4L 3P4","Montréal","QC","BRCC","par heure",,-73.678398,45.512192
"CEA-13743","Baie-D'Urfé - Centre Witheside Taylor","20551 Chemin Lakeshore Baie-d'Urfé QC H9X 1R3","Baie-d'Urfé","QC","Niveau 2","par heure",,-73.920711,45.407004
"CEA-13740","Baie-D'Urfé - Centre Witheside Taylor","20551 Chemin Lakeshore Baie-d'Urfé QC H9X 1R3","Baie-d'Urfé","QC","Niveau 2","par heure",,-73.920711,45.407004
"CEA-10392","Beaconsfield - Parc Christmas","424 boul Beaconsfield Beaconsfield QC H9W 4B7","Beaconsfield","QC","Niveau 2","par heure",,-73.878358,45.419845
"CEA-10399","Beaconsfield - Parc Christmas","424 boul Beaconsfield Beaconsfield QC H9W 4B7","Beaconsfield","QC","Niveau 2","par heure",,-73.878358,45.419845
"CEA-266","Bentall Kennedy - Tour KPMG","600 Boulevard de Maisonneuve Ouest Montréal QC H3A 0A3","Montréal","QC","Niveau 2","par session",,-73.570499,45.504516
